objectid,parentid,filename,title,date,date_created,description,brand,subject,primarycolor,primarymaterial,constructiontechnique,location,latitude,longitude,source,donor,identifier,type,format,language,rights,rightsstatement
vcat001,,65.1.7hat_front.JPG,Pink cloche hat with floral design,1923,,"Round cloche hat with brim enveloping head to neck in back and eyes in the front. Right side is pink taffeta stitched with a pink and lavender star-shaped ornament with a gold metal swirl at its center. Left side is red velvet with lavender, gold and red horizontal stitching. Cloche hats, named after cloche the French word for bell, were common in the in the 1920’s and were well suited to the short hairstyles of the time. Designer and origin unknown",,women;accessories;headress;ai tools,pink,Taffeta; Velvet,hand sewing,,,,Virginia Tech Costume and Textile Collection,Mr. & Mrs. Carl B. Umberger,65.1.7,Image;StillImage,multiple,eng,VTCAT,http://rightsstatements.org/vocab/NoC-US/1.0/
vcat002,vcat001,65.1.7hat_side.JPG,Pink cloche hat with floral design (side view),1923,,Side view,,women;accessories;headress;ai tools,pink,Taffeta; Velvet,hand sewing,,,,Virginia Tech Costume and Textile Collection,Mr. & Mrs. Carl B. Umberger,65.1.7,Image;StillImage,image/jpeg,eng,VTCAT,http://rightsstatements.org/vocab/NoC-US/1.0/
vcat003,,67.2.14hat.JPG,Pink derby hat with magenta ribbons,1962,,"Mr. Morton G. (designer) pink silk organza hat with a flounced brim and a shirred crown decorated with narrow fuchsia velvet ribbon trim shaped into bows. This hat was purchased from Horne’s, based in Roanoke, for $21.95. ",Mr. Mortone G.,women;accessories;headress;ai tools,pink,Silk organza,hand sewing,"Horne's; Roanoke, Virginia",37.27052,-79.95035,Virginia Tech Costume and Textile Collection,Miss Oris Glisson, 67.2.14 b,Image;StillImage,image/jpeg,eng,VTCAT,http://rightsstatements.org/vocab/NoC-US/1.0/
vcat004,,77.4.15coronet.JPG,Gold coronet,1970,,Gold coronet featuring braid and faceted beads arranged in a diamond patter around the edge. Designer is unknown but was made in Italy. ,,women;accessories;headress,gold,Glass,braiding; beading,Italy,43.00127,12.69019,Virginia Tech Costume and Textile Collection,Miss Oris Glisson,77.4.15,Image;StillImage,image/jpeg,eng,VTCAT,http://rightsstatements.org/vocab/NoC-US/1.0/
vcat005,,79.1.10lavenderpurse.JPG,Lavender beaded reticule,,1915-1925,Lavendar and pink intricately beaded reticule purse with a double cord handle and fringe along the bottom edge. Inner lining is lavender silk that extends to form along the upper edge and does not feature a closure. Reticule purses were small drawstring bags originally designed as a replacement for women pockets but eventually became a fashion item featuring extravagant designs. Designer and origin unknown. ,,women;accessories;purse,lavender,Silk,beading,,,,Virginia Tech Costume and Textile Collection,Mrs. Rene Leveille,79.1.10,Image;StillImage,image/jpeg,eng,VTCAT,http://rightsstatements.org/vocab/NoC-US/1.0/
vcat006,,79.8.17whitepurse.JPG,White aligator handbag ,1965,,"White simulated reptile skin purse with a hand-strap and gold metal clasp at the top, approximately 9” x 6” x 5” in size. Purse features two outside compartments on either side with hidden snap closures. The interior is a white faille lining with two inside pockets, one with a zipper close and one open. Designer and origin unknown. ",,women;accessories;purse,white,Leather,embosing,,,,Virginia Tech Costume and Textile Collection,Miss Oris Glisson,79.8.17,Image;StillImage,image/jpeg,eng,VTCAT,http://rightsstatements.org/vocab/NoC-US/1.0/
vcat007,,79.8.23jewelpin.JPG,Gold and turqoise decorative foral pin,,1960's,"Large gold floral pin inlaid with turquoise beads. Pin consists of a stem ending in four five-pointed flowers, each with a peal at its center. Designer and origin unknown. ",,women;accessories;jewlery,gold,Metal,polishing,,,,Virginia Tech Costume and Textile Collection,Miss Oris Glisson,79.8.23,Image;StillImage,image/jpeg,eng,VTCAT,http://rightsstatements.org/vocab/NoC-US/1.0/
vcat008,,79.8.42pineconepin.JPG,Red pinecone pin,,1950's,Red pinecone pin. The bottom two rows of the cone were painted red and used to create a floral design while the other rows were cut creating a raised center and left unpainted. Designer and origin unknown. ,,women;accessories;jewlery,red,Wood,painting,,,,Virginia Tech Costume and Textile Collection,Miss Oris Glisson,79.8.42,Image;StillImage,image/jpeg,eng,VTCAT,http://rightsstatements.org/vocab/NoC-US/1.0/
vcat009,,92.2.133earrings.JPG,Onyx and Crystal dangle earrings,,No Date,Green onyx and crystal clip on dangle earrings. A large pear-shaped clear crystal cut stone is attached to the clip. Below it are 5 smaller marquis cut crystals surrounding a blue-green round cut onyx stone. Suspended from the bottom is a large olive-green pear-shaped onyx cut stone. All stones are set in silver metal. Designer and origin are unknown.,,women;accessories;jewlery,green,Metal,polishing,,,,Virginia Tech Costume and Textile Collection,Miss Oris Glisson,"92.2.133 a,aa",Image;StillImage,image/jpeg,eng,VTCAT,http://rightsstatements.org/vocab/NoC-US/1.0/
vcat010,,66.1.7goldheels_front.JPG,Gold peep toe heels,1946,,"Salon Fashions (designer) gold platform peep-toe heels. Heels feature a rounded crisscross design at the toes creating 4 cut outs, adjustable ankle straps with gold buckles, and is a size 4 ½ M. Origin is unknown. ",Salon Fashions,women;accessories;shoes; ouch my toes;ai tools,gold,Leather,,,,,Virginia Tech Costume and Textile Collection,Mrs. Jacquelyn G. Hill,"66.1.7 a,b",Image;StillImage,multiple,eng,VTCAT,http://rightsstatements.org/vocab/NoC-US/1.0/
vcat011,,67.2.53redheels_front.JPG,Red leather heels with buckle,1960,,"Fiancées (designer) red leather heels with a low t strap with a golden buckle. Heels feature a pointed toe and 3 1/2” slender heels. Fiancees comes from the Clack Shoe Company based in Auburn, Maine. ",Fiancées ,women;accessories;shoes; ouch my toes;ai tools,red,Leather,,"Clark Shoe Company; Auburn, Maine",44.11984,-70.25627,Virginia Tech Costume and Textile Collection,Miss Oris Glisson,67.2.53,Image;StillImage,multiple,eng,VTCAT,http://rightsstatements.org/vocab/NoC-US/1.0/
vcat012,vcat012,67.2.53redheels_side.JPG,Red leather heels with buckle (side view),1960,,Side view,Fiancées ,women;accessories;shoes; ouch my toes;ai tools,red,Leather,,"Clark Shoe Company; Auburn, Maine",44.11984,-70.25627,Virginia Tech Costume and Textile Collection,Miss Oris Glisson,67.2.53,Image;StillImage,image/jpeg,eng,VTCAT,http://rightsstatements.org/vocab/NoC-US/1.0/
vcat013,,75.10.2pinkheels_front.JPG,Pink leather pump heels,,Mid 1960's,"Joyce California (designer) pink leather pump heels. Heels feature square toes distinctive of the transition period away from pointed toes, and a 1 ½” heel. Joyce California was based out of Pasadena, California. ",Joyce California,women;accessories;shoes; ouch my toes;ai tools,pink,Leather,,"Pasadena, California",34.14904,-118.14686,Virginia Tech Costume and Textile Collection,Dr. Jean Phillips,75.10.2 a,Image;StillImage,multiple,eng,VTCAT,http://rightsstatements.org/vocab/NoC-US/1.0/
vcat014,,79.8.14brownheels.JPG,Brown leather pump heels with brown bows,1963,,"Neiman-Marcus, Caprini (designer) brown patent leather pump heels with grosgrain bows. Heels feature narrow, rounded toes with medium, broad 1 3/8” heels. Caprini comes from the Neiman-Marcus department store based in Texas. ",Caprini,women;accessories;shoes; ouch my toes,brown,Leather,,"Neiman-Marcus; Fort Worth, Texas",32.76351,-97.31627,Virginia Tech Costume and Textile Collection,Miss Oris Glisson,"79.8.14 a,aa",Image;StillImage,image/jpeg,eng,VTCAT,http://rightsstatements.org/vocab/NoC-US/1.0/
